datetimes,load_profile,HEATPUMP_P_TOT,APPARENT_TEMPERATURE:TOTAL,SOLAR_IRRADIANCE:GLOBAL,y
2019-02-02 00:00:00,242949.13060277308,263087.90607080463,-1.0868055545336859,36.414930555555564,216852.53360383774
2019-02-08 00:00:00,249138.2624620226,189603.9416664122,2.3142360917085556,44.869791666666664,242029.84869020252
2019-02-14 00:00:00,191281.5546384176,209945.40041244304,3.464583336285111,115.88541666666667,196251.44318618785
2019-02-20 00:00:00,203491.21878611247,181566.1912130886,4.233159727378127,94.32291666666667,205238.57847569784
2019-02-26 00:00:00,257180.2487576803,171502.66386495167,5.981770840564024,89.14062500000004,246100.6922918532
2019-03-04 00:00:00,178364.4782853021,149861.23424356242,5.683854163171621,73.4201388888889,198516.71885130144
2019-03-10 00:00:00,221723.49547924465,215372.02800124482,2.0218749988772386,48.125,223910.62280756637
2019-03-16 00:00:00,183112.37018042672,184315.21831426612,4.389149309925016,120.96354166666667,181070.06217600513
2019-03-22 00:00:00,206670.3041016473,152205.61355030272,5.102951399167064,129.67881944444443,182776.26455374822
2019-03-28 00:00:00,162088.79959920247,156849.22741252056,7.786805565236123,192.95138888888889,169303.39016749064
2019-04-03 01:00:00,187784.63596132072,131797.22168380956,8.992187492963334,165.94618055555557,184794.29427320696
2019-04-09 01:00:00,194879.4374387953,190239.1949011802,2.032118055684906,157.67361111111111,195899.4526652019
2019-04-15 01:00:00,166299.79124755858,103242.56201032003,11.327430559710288,308.45486111111114,161234.62478917444
2019-04-21 01:00:00,169424.98370946245,56158.20092966294,14.121180574513133,270.28645833333337,179609.2692684597
2019-04-27 01:00:00,156209.12897355828,98204.71984015568,8.879513895139096,192.32638888888883,148289.5407539368
2019-05-03 01:00:00,131447.8338821411,155191.3822736952,5.485937499285981,162.78645833333334,166186.8437366909
2019-05-09 01:00:00,214809.32007429335,113761.15890163848,9.113107634721215,217.07465277777774,192413.19242935174
2019-05-15 01:00:00,166900.88928298952,89595.98932406105,12.155034720794205,218.67187500000003,160690.16673880685
2019-05-21 01:00:00,175569.12320810952,76767.23852124748,14.001041640838002,191.84027777777774,173448.70511728927
2019-05-27 01:00:00,186488.31232494776,48933.94943421684,15.252083293265784,211.55381944444446,198023.7456184387
2019-06-02 01:00:00,167966.84250496753,30883.681218380414,20.052256931033387,263.3289930555555,156003.36964933606
2019-06-08 01:00:00,177124.28275977244,10048.014225323997,17.373697897626286,232.27430555555551,177873.10463672216
2019-06-14 01:00:00,181588.70858595098,29894.44933776855,19.888888857430885,280.1822916666666,177072.3999370998
2019-06-20 01:00:00,156443.87192679505,12144.745333131159,21.087152802281903,339.64409722222223,170749.56689020793
2019-06-26 01:00:00,162941.4987715828,11521.59456016753,22.46414927310416,369.95659722222223,145898.60669369172
2019-07-02 01:00:00,153723.50404315532,9784.434556388862,16.359374996688647,253.7326388888889,157433.6419200474
2019-07-08 01:00:00,190320.8875487434,23508.15755708482,14.74635416186517,131.00694444444446,189925.12843288848
2019-07-14 01:00:00,159726.73556510074,62288.42654275893,16.340104177594185,135.06076388888889,160316.20458823306
2019-07-20 01:00:00,137694.13478741117,12508.86200223499,24.15746532049441,298.3072916666667,145878.7892238193
2019-07-26 01:00:00,155931.8241010878,10298.753000556102,23.339409702354022,258.01215277777777,156180.71631257804
2019-08-01 01:00:00,177120.71933280103,9676.118780856666,19.42326390908823,190.40798611111111,173005.99531250005
2019-08-07 01:00:00,190841.26150733107,24051.86290874483,19.71475697225993,190.4947916666667,186086.03296754629
2019-08-13 01:00:00,166777.57292090516,34793.44015766781,16.999305539660966,150.17361111111111,169899.01212387087
2019-08-19 01:00:00,148737.97410634358,11829.696889580626,18.420833308663628,277.66493055555554,153374.93704003227
2019-08-25 01:00:00,151430.05021336876,11063.618890963662,23.673524311847142,221.9270833333333,144107.26674855556
2019-08-31 01:00:00,179072.9434592353,8673.085666910814,17.902430540985534,158.64583333333337,188804.64821980795
2019-09-06 01:00:00,209618.8278251648,70133.55254887477,13.469791693819907,148.02951388888889,198136.5005130344
2019-09-12 01:00:00,176942.35811937117,52860.245109430936,14.863454892403553,127.5173611111111,190494.83312454223
2019-09-18 01:00:00,169476.23422622678,95640.68416488431,12.689756946431283,167.71701388888886,165440.3566309611
2019-09-24 01:00:00,207113.9636592441,69876.21841870414,15.359982648657413,75.03906249999997,202299.1212519328
2019-09-30 01:00:00,169082.16273867287,97830.17354346381,10.610937505960472,79.37065972222223,171447.0172825283
2019-10-06 01:00:00,162473.420328225,121968.54935447904,10.081944465313844,62.760416666666664,181540.98866856896
2019-10-12 01:00:00,197030.8226658291,55325.74005809361,16.443576408757107,82.68229166666666,176008.13200734454
2019-10-18 01:00:00,187775.6036417644,105731.32911667298,12.636284724705753,59.231770833333336,195643.90983996922
2019-10-24 01:00:00,216849.7647700416,139543.67180905872,10.430381914600732,57.048611111111114,209838.3229969025
2019-10-30 00:00:00,176577.67041028343,139152.99757545258,5.844270823769162,61.39756944444445,179336.32740775216
2019-11-05 00:00:00,213619.9828134324,196918.10957342782,4.856857644458711,34.93055555555556,211564.9597222645
2019-11-11 00:00:00,203239.18536258268,191411.87619043977,1.6000868050290995,35.14756944444445,204706.48349041407
