datetimes,load_profile,HEATPUMP_P_TOT,APPARENT_TEMPERATURE:TOTAL,SOLAR_IRRADIANCE:GLOBAL,y
2018-09-05 12:30:00,2358.095001686938,376.4683350457086,23.39999961853,770.0,2055.436120393536
2018-09-05 12:45:00,3037.5802373250276,384.9391126738655,23.89999961853,785.0,2110.0390074835846
2018-09-05 13:00:00,3374.5886733161037,370.9254467540317,23.89999961853,785.0,1958.4693470001175
2018-09-05 13:15:00,2378.244680023191,956.1315538300387,24.299999237061,795.0,1930.0535678015779
2018-09-05 13:30:00,2537.756901084049,1823.84667114682,24.39999961853,795.0,2147.2025636884828
2018-09-05 13:45:00,2715.192124515101,340.3595576074389,25.10000038147,795.0,2645.110682296747
2018-09-05 14:00:00,2369.3544575161363,337.11033504274167,25.10000038147,795.0,3002.7865545908567
2018-09-05 14:15:00,2937.7618961334197,335.06800103717393,25.39999961853,780.0,3238.0688894483715
2018-09-05 14:30:00,2055.436120393536,335.4842244254219,25.10000038147,770.0,3038.0550125121995
2018-09-05 14:45:00,2110.0390074835846,335.7128913561503,25.299999237061,755.0,4497.093460930709
2018-09-05 15:00:00,1958.4693470001175,325.05044583214647,25.299999237061,755.0,6281.535027143682
2018-09-05 15:15:00,1930.0535678015779,307.2246683120728,25.60000038147,725.0,4854.777562459308
2018-09-05 15:30:00,2147.2025636884828,305.3632239235772,25.799999237061,695.0,4054.0701162550135
2018-09-05 15:45:00,2645.110682296747,311.37100188997056,25.700000762939,675.0,3972.879222785092
2018-09-05 16:00:00,3002.7865545908567,2028.1114478641098,25.700000762939,675.0,2272.16089579264
2018-09-05 16:15:00,3238.0688894483715,509.1976675139524,26.39999961853,625.0,1850.6754558139337
2018-09-05 16:30:00,3038.0550125121995,294.95944599575466,26.299999237061,585.0,1962.4036760965937
2018-09-05 16:45:00,4497.093460930709,294.5680011325411,26.39999961853,555.0,1801.3823449452675
2018-09-05 17:00:00,6281.535027143682,281.7694458325703,26.39999961853,555.0,1744.3327825758156
2018-09-05 17:15:00,4854.777562459308,271.05455721749206,26.10000038147,490.0,1453.1207869635641
2018-09-05 17:30:00,4054.0701162550135,279.5546684159173,25.799999237061,465.0,1679.8205640580877
2018-09-05 17:45:00,3972.879222785092,263.4753343582154,25.200000762939,405.0,1976.0591224670366
2018-09-05 18:00:00,2272.16089579264,264.1444457795885,25.200000762939,405.0,2349.7290072547025
2018-09-05 18:15:00,1850.6754558139337,265.2667790412906,25.0,325.0,1974.0220091077963
2018-09-05 18:30:00,1962.4036760965937,2109.2452211379996,25.200000762939,270.0,2345.7354555765737
2018-09-05 18:45:00,1801.3823449452675,221.79455715815226,25.0,230.0,2579.446788957379
2018-09-05 19:00:00,1744.3327825758156,222.17733514573834,25.0,230.0,2666.401455264617
2018-09-05 19:15:00,1453.1207869635641,222.14722332424594,24.200000762939,150.0,2540.3005651685867
2018-09-05 19:30:00,1679.8205640580877,221.56077911588892,23.89999961853,90.0,2540.858454386389
2018-09-05 19:45:00,1976.0591224670366,222.59044620725854,23.60000038147,50.0,2857.571566518144
2018-09-05 20:00:00,2349.7290072547025,222.42166831758288,23.60000038147,50.0,2398.447787729897
2018-09-05 20:15:00,1974.0220091077963,222.3753348668415,22.89999961853,0.0,2556.4943412780717
2018-09-05 20:30:00,2345.7354555765737,222.09589029947927,22.10000038147,0.0,4388.467463429763
2018-09-05 20:45:00,2579.446788957379,222.63722352981563,21.799999237061,0.0,4044.768687523729
2018-09-05 21:00:00,2666.401455264617,223.00066799587665,21.799999237061,0.0,1795.9825648413712
2018-09-05 21:15:00,2540.3005651685867,224.2824456956651,20.5,0.0,2553.934127892385
2018-09-05 21:30:00,2540.858454386389,224.86944621404018,20.0,0.0,3427.958669069071
2018-09-05 21:45:00,2857.571566518144,223.73455684449937,19.299999237061,0.0,1407.3644544389463
2018-09-05 22:00:00,2398.447787729897,220.591112560696,19.299999237061,0.0,1418.3246758778846
2018-09-05 22:15:00,2556.4943412780717,220.76911247041477,18.0,0.0,1651.4201227823855
2018-09-05 22:30:00,4388.467463429763,975.4982262717328,17.299999237061,0.0,1641.9065676371204
2018-09-05 22:45:00,4044.768687523729,1749.57633201811,16.89999961853,0.0,1593.4994534810337
2018-09-05 23:00:00,1795.9825648413712,220.93577902052127,16.89999961853,0.0,1576.3217876858134
2018-09-05 23:15:00,2553.934127892385,221.2454459190369,16.700000762939,0.0,1419.1797877417625
2018-09-05 23:30:00,3427.958669069071,221.13777905570134,17.0,0.0,1435.4026779598626
2018-09-05 23:45:00,1407.3644544389463,221.16333445443038,16.799999237061,0.0,1432.7347870932638
2018-09-06 00:00:00,1418.3246758778846,221.69111294216606,16.799999237061,0.0,1392.9374543507854
2018-09-06 00:15:00,1651.4201227823855,222.27833515803036,17.10000038147,0.0,1570.3536734474992
2018-09-06 00:30:00,1641.9065676371204,222.7102238972983,16.200000762939,0.0,1536.1169027540368
2018-09-06 00:45:00,1593.4994534810337,222.18633537292504,16.10000038147,0.0,1471.8393439822687
2018-09-06 01:00:00,1576.3217876858134,222.86155691146854,16.10000038147,0.0,1327.693786663474
2018-09-06 01:15:00,1419.1797877417625,222.49789030286993,15.800000190735,0.0,1358.1147872924757
2018-09-06 01:30:00,1435.4026779598626,221.28533490498853,15.10000038147,0.0,1516.8596754285982
2018-09-06 01:45:00,1432.7347870932638,221.28333465788094,14.89999961853,0.0,1301.8074540032246
2018-09-06 02:00:00,1392.9374543507854,221.42644566429976,14.89999961853,0.0,1406.4000127580377
