datetimes,load_profile,HOUSEHOLD_P_TOT,HEATPUMP_P_TOT,APPARENT_TEMPERATURE:TOTAL,SOLAR_IRRADIANCE:GLOBAL,y
2019-02-02 00:00:00,230711.7414467301,372873.6456612895,2540360.0226816917,0.6137152685874352,40.64236111111111,168380.33824103914
2019-02-14 00:00:00,-96300.84395738544,333338.640716944,1721872.7599285338,3.84887153183162,105.10416666666664,-114456.4102706548
2019-02-26 00:00:00,59589.786629403694,362050.03375584056,1769264.4124504614,5.832812501867823,81.28038194444444,129917.28099085722
2019-03-10 00:00:00,128225.1310671296,397702.49505180394,1831239.1483102164,3.205512154401127,84.54427083333333,75926.8713429337
2019-03-22 00:00:00,-168274.29934853557,315945.5186591272,504527.1115114848,6.4448784822015925,161.31510416666666,-147223.3095391155
2019-04-03 01:00:00,-60784.75502451989,371265.541910346,439078.4211804602,5.512152774324118,161.8098958333333,-112213.5742458985
2019-04-15 01:00:00,-429287.31116490066,314789.9541607698,145334.89110312992,12.724305567111712,289.37065972222223,-384137.8618309074
2019-04-27 01:00:00,-30642.401530470037,467559.79578753765,234916.05121739712,7.182725697212539,177.55642361111117,-50794.34300662022
2019-05-09 01:00:00,-178692.4019355407,398463.4467234632,144460.37119122612,10.634071177757713,217.87326388888889,-127403.89023084103
2019-05-21 01:00:00,-160910.42711158725,359238.2338079529,131410.6042139159,14.626562467051892,201.69704861111111,-242309.84468417894
2019-06-02 01:00:00,-277241.00653120584,246083.6850396755,66512.35219480727,18.71297741432984,247.80164930555554,-253852.9028775689
2019-06-14 01:00:00,-323655.2451222356,357433.1610080326,43304.973880979735,20.4880208298564,309.91319444444446,-333634.01541116
2019-06-26 01:00:00,-256887.2677853793,431389.34141002316,81609.11866395739,19.41176213489641,311.8446180555555,-200295.51213716267
2019-07-08 01:00:00,33516.10102577832,415674.55792233004,151462.08236551285,15.543229169729678,133.03385416666666,463.8167998570243
2019-07-20 01:00:00,-296472.4648145039,342503.2650705534,41598.981797525616,23.748437511424225,278.15972222222223,-289602.1852817361
2019-08-01 01:00:00,-141198.37813680634,379794.7042386726,53869.19723542531,19.569010440674084,190.45138888888889,-147621.616912134
2019-08-13 01:00:00,-284224.7461032497,261774.68301552415,53161.773994074945,17.710069424162302,213.9192708333333,-298623.1818393192
2019-08-25 01:00:00,-154107.02831970717,351173.7666994499,77366.30943552653,20.78797742641634,190.28645833333334,-164704.08825432562
2019-09-06 01:00:00,-47293.58484943782,378633.483158225,136838.9148828189,14.166623293111728,137.77343749999997,-27643.73049490345
2019-09-18 01:00:00,118166.86077841715,541863.8167171144,218409.8236470541,14.02486979754434,121.37803819444446,135439.76322190397
2019-09-30 01:00:00,162161.72476736826,441638.4575259889,251126.028800869,10.346440985637157,71.06553819444444,172143.62799907706
2019-10-12 01:00:00,155881.9209407981,439435.9094465451,205905.10201792183,14.53993056673143,70.95703124999999,143650.29002456632
2019-10-24 01:00:00,75880.93134531751,371727.43326102634,374339.5666236349,8.137326369184944,59.22309027777778,104961.61135902691
2019-11-05 00:00:00,395323.8398486193,548821.9720325274,591674.6169023302,3.2284722247439066,35.03906249999999,425979.84807819105
2019-11-17 00:00:00,583183.9028052291,660901.9602764933,550869.1129115635,3.528993063974971,24.036458333333332,755649.6907675833
