datetimes,load_profile,HOUSEHOLD_P_TOT,HEATPUMP_P_TOT,APPARENT_TEMPERATURE:TOTAL,SOLAR_IRRADIANCE:GLOBAL,y
2019-02-02 00:00:00,71717.59353214221,108627.3234171997,636342.5781901253,-2.241319438494326,38.14236111111111,59385.24214370617
2019-02-05 00:00:00,64707.701819306894,91536.51791126092,626605.851542833,0.06770832942695457,34.6875,37244.75836800643
2019-02-08 00:00:00,19536.26855487479,57409.63031448477,582103.95702965,3.205559927439012,43.17752285513362,32406.392854496757
2019-02-11 00:00:00,74750.17754040622,115300.17401834409,695307.6359190834,1.4229122559780993,46.56206047819972,39343.94487482983
2019-02-14 00:00:00,-9233.388114187603,128490.40307355186,421533.93959218136,3.1118055526943214,126.07638888888891,-14653.808946116096
2019-02-17 00:00:00,-43585.85326200397,65017.78850044814,399098.80940498767,3.817361119875901,105.69444444444444,-22975.130625192196
2019-02-20 00:00:00,51423.67431999141,88875.03447324812,443755.45566872496,4.844097232083892,49.72222222222222,22304.36217565614
2019-02-23 00:00:00,-94905.27690118527,50955.41466969596,457484.5552626399,3.622222222672363,138.92361111111111,-99131.8328750026
2019-02-26 00:00:00,-76310.14792257072,57606.942115743404,321024.25729297,6.467013894244001,141.8055555555556,-8761.822587353488
2019-03-01 00:00:00,107452.7050222505,129910.27590347655,499899.45559160446,5.496527786884044,36.47569444444444,82041.56301093887
2019-03-04 00:00:00,24297.754614015128,93235.08603163963,452911.08418739104,5.201388889846084,69.96527777777776,6407.849915445634
2019-03-07 00:00:00,4149.4749157088245,81297.72970498085,495429.6153784963,6.166319436497159,76.87499999999999,50229.6906518262
2019-03-10 00:00:00,49733.294236037706,91481.10266515648,522296.12709221314,0.9944444450860218,53.211805555555564,30693.625333615375
2019-03-13 00:00:00,82716.70246647832,115034.3710488538,544767.626823457,3.049305552668456,43.03819444444445,104253.69046591726
2019-03-16 00:00:00,38722.1343531571,108545.2454642682,426584.0620478948,3.953819444273703,76.51041666666666,-8774.449409412873
2019-03-19 00:00:00,-42946.99998854346,82641.77587352549,337591.33234665135,4.824479175576331,165.41666666666666,-50245.99504718605
2019-03-22 00:00:00,25199.863579770154,145094.9766065901,188172.5978588528,6.881597241309152,161.38888888888889,44010.15992484069
2019-03-25 00:00:00,40657.17503487544,119129.70760192521,153435.45596874034,3.3243055570249744,97.96875,30302.225832822805
2019-03-28 00:00:00,-122382.43869659868,24728.764368535416,80845.47711322574,9.38437503677171,198.4027777777778,-120999.40067747078
2019-03-31 00:00:00,-111748.89926658248,26992.070082076538,82073.58057066597,6.189236093700539,187.5,-100536.29461930825
2019-04-03 01:00:00,21990.64955881717,54377.950325100705,134921.15552215578,6.594097225202451,66.07638888888889,-29430.667957047615
2019-04-06 01:00:00,-87940.92043358962,96296.05657790463,47173.83941544426,11.390277760724219,265.81597222222223,-54235.71773999316
2019-04-09 01:00:00,-49918.9015102444,91861.29963918088,99242.02666508358,3.5305555576148144,217.03124999999997,-13960.197901201853
2019-04-12 01:00:00,55084.41736049701,128730.23536815986,157741.39957777658,0.5336805537549979,98.31597222222221,-14586.990647655868
2019-04-15 01:00:00,-143677.03204937454,60274.82427246457,65036.02242987949,9.13368053936089,303.87152777777777,-132391.2879178228
2019-04-18 01:00:00,-108638.70755725379,90764.46677224814,40011.010576756795,13.521180580059692,313.03819444444446,-102944.95300961738
2019-04-21 01:00:00,-115879.53284974422,88495.99684374232,20043.648768647505,13.364583350718009,320.1388888888889,-127644.13133792115
2019-04-24 01:00:00,-61092.03870852813,75254.66627231482,20244.209327846103,14.877777798308259,220.43402777777774,-21157.48956554606
2019-04-27 01:00:00,38235.186987121924,130562.41495647057,66178.28009415732,7.376041668570715,140.86805555555551,-6348.532444166156
2019-04-30 01:00:00,-18539.752066748384,139030.54678382634,39230.81367122864,10.382986121707477,243.78472222222226,43048.723707297446
2019-05-03 01:00:00,-29932.832074567305,109570.80585646715,62705.342222743566,4.418749994624191,183.7847222222222,-44073.92386977734
2019-05-06 01:00:00,-20405.00437627627,88396.02819077355,66801.61522926755,6.553125003947773,141.78819444444446,-43420.61039997415
2019-05-09 01:00:00,31963.972760290897,134358.0934499461,42246.27259756724,10.152777791023253,132.60416666666666,30257.349928086842
2019-05-12 01:00:00,-121639.76533974425,63573.621633435796,33906.25530946519,8.07343747841918,301.54513888888897,-138093.1559423187
2019-05-15 01:00:00,8068.92010453634,105545.34922331029,39490.57108833524,8.94895833544434,144.6701388888889,11987.035236723495
2019-05-18 01:00:00,-97085.52946062367,94986.382416771,28817.27219585842,15.36111110614407,292.6736111111111,-31555.119453332693
2019-05-21 01:00:00,-3177.320666385218,94332.8057703964,40722.98040721679,13.738194439146271,178.4722222222222,-55201.42012633659
2019-05-24 01:00:00,-23388.73099312587,117608.60425591629,47487.04270093707,14.263888842529726,205.20833333333337,-12879.258450038971
2019-05-27 01:00:00,-39279.00230239105,105573.48428764725,22613.509339226635,13.478124966224046,203.4722222222222,-30367.20718452799
2019-05-30 01:00:00,-95065.37314968514,41723.33949399304,20587.071766535446,17.02604162030752,219.63541666666663,-143861.95892327538
2019-06-02 01:00:00,-105151.70188113904,36620.71957479963,8061.22443294525,20.981249989734742,284.5138888888889,-76259.08177769695
2019-06-05 01:00:00,-80005.21042308031,42962.371952398644,13201.110095553926,19.123263872332032,242.1440972222222,-87700.74060868727
2019-06-08 01:00:00,-103715.43239503984,40827.27641722071,10931.796992842355,17.368402724464758,270.1649305555555,-71606.59205817284
