datetimes,load_profile,HOUSEHOLD_P_TOT,HEATPUMP_P_TOT,APPARENT_TEMPERATURE:TOTAL,SOLAR_IRRADIANCE:GLOBAL,y
2018-09-20 11:30:00,-1725.0081112331768,-256.3222874783879,71.74688890245227,21.0,625.0,-1647.9328932020383
2018-09-20 11:45:00,-916.7771080864811,196.10220225834644,71.62122158474389,21.700000762939,635.0,-1782.9056667751743
2018-09-20 12:00:00,-1563.3820006158592,499.37087294735966,77.78444425794822,21.89999961853,640.0,-1649.8853271484384
2018-09-20 12:15:00,-2153.268551974828,-53.56548684072797,72.83655624389641,23.5,540.0,-1213.5754421657975
2018-09-20 12:30:00,-2220.1911146375814,-111.08383494409559,72.56111068725585,23.700000762939,545.0,-651.6028896755635
2018-09-20 12:45:00,-2114.340105523002,-55.43589096361635,72.24811104668517,24.60000038147,685.0,-520.7329979790583
2018-09-20 13:00:00,-1892.9035573323529,9.174986728949527,77.13866729736301,24.60000038147,685.0,-677.829776763916
2018-09-20 13:15:00,-1974.3988891601582,-111.58662862375938,66.73033362494573,25.0,700.0,-981.5085584852472
2018-09-20 13:30:00,-1647.9328932020383,-1.7451537384372438,72.57088911268447,25.10000038147,715.0,804.8012284172904
2018-09-20 13:45:00,-1782.9056667751743,79.22843284168499,68.91933322482637,25.39999961853,710.0,193.17277798122845
2018-09-20 14:00:00,-1649.8853271484384,-39.54241527104251,72.86655561659086,25.39999961853,710.0,-913.8568884955488
2018-09-20 14:15:00,-1213.5754421657975,132.93030496063844,24.776777797275123,25.89999961853,690.0,-17.069995201955226
2018-09-20 14:30:00,-651.6028896755635,149.98714863861255,10.000444465213391,25.799999237061,635.0,582.0593282063809
2018-09-20 14:45:00,-520.7329979790583,158.50263420484998,10.048222276899603,25.89999961853,530.0,765.0935569524736
2018-09-20 15:00:00,-677.829776763916,224.32156423225246,9.981444464789528,25.89999961853,530.0,497.41244263466984
2018-09-20 15:15:00,-981.5085584852472,123.690675231228,9.952000035180012,26.10000038147,500.0,640.0112202114553
2018-09-20 15:30:00,804.8012284172904,2264.5464391452606,10.104888884226492,26.200000762939,355.0,-20.020111166437637
2018-09-20 15:45:00,193.17277798122845,1755.4409772149443,10.296666664547388,26.299999237061,265.0,55.66688898541049
2018-09-20 16:00:00,-913.8568884955488,521.784873956559,10.275555504692887,26.299999237061,265.0,161.72533298068564
2018-09-20 16:15:00,-17.069995201955226,1214.5755986677773,10.22288887235852,26.0,245.0,274.4315546671551
2018-09-20 16:30:00,582.0593282063809,1666.7106692025495,10.200333340962732,26.0,295.0,260.7258884006077
2018-09-20 16:45:00,765.0935569524736,1343.7199937340827,19.750666639539922,26.5,370.0,322.18744540744365
