datetimes,load_profile,y
2016-01-02 00:00:00,71033,78769
2016-01-14 00:00:00,109656,107824
2016-01-26 00:00:00,104803,98778
2016-02-07 00:00:00,98719,105186
2016-02-19 00:00:00,102350,103169
2016-03-02 00:00:00,99081,98413
2016-03-14 00:00:00,96177,89408
2016-03-26 00:00:00,80346,85264
2016-04-07 00:00:00,75682,74902
2016-04-19 00:00:00,72405,67539
2016-05-01 00:00:00,57615,60568
2016-05-13 00:00:00,53858,54676
2016-05-25 00:00:00,47005,46752
2016-06-06 00:00:00,55116,50702
2016-06-18 00:00:00,52984,58626
2016-06-30 00:00:00,60563,59881
2016-07-12 00:00:00,59127,54319
2016-07-24 00:00:00,60472,63894
2016-08-05 00:00:00,49719,50467
2016-08-17 00:00:00,49952,50490
2016-08-29 00:00:00,65941,61183
2016-09-10 00:00:00,66928,72249
2016-09-22 00:00:00,52022,53257
2016-10-04 00:00:00,88169,82268
2016-10-16 00:00:00,102940,108992
2016-10-28 00:00:00,77636,81227
2016-11-08 23:00:00,104437,102773
2016-11-20 23:00:00,111714,105428
2016-12-02 23:00:00,108865,115310
2016-12-14 23:00:00,90085,82334
