datetimes,load_profile,y
2016-01-02 00:00:00,14034,24476
2016-01-04 00:00:00,37090,27134
2016-01-06 00:00:00,32828,50548
2016-01-08 00:00:00,36948,18878
2016-01-10 00:00:00,41544,72796
2016-01-12 00:00:00,79096,78322
2016-01-14 00:00:00,80660,51438
2016-01-16 00:00:00,16696,45428
2016-01-18 00:00:00,83618,83548
2016-01-20 00:00:00,77024,76154
2016-01-22 00:00:00,41580,10502
2016-01-24 00:00:00,43192,77060
2016-01-26 00:00:00,86606,89734
2016-01-28 00:00:00,88196,58790
2016-01-30 00:00:00,20488,44862
2016-02-01 00:00:00,82306,85560
2016-02-03 00:00:00,85412,77828
2016-02-05 00:00:00,41238,15400
2016-02-07 00:00:00,35554,62104
2016-02-09 00:00:00,72932,77802
2016-02-11 00:00:00,80046,48516
2016-02-13 00:00:00,10160,42094
2016-02-15 00:00:00,84424,83124
2016-02-17 00:00:00,82564,83758
2016-02-19 00:00:00,45272,11334
2016-02-21 00:00:00,44174,80216
2016-02-23 00:00:00,86394,87836
2016-02-25 00:00:00,81682,45468
2016-02-27 00:00:00,9144,39408
2016-02-29 00:00:00,75884,80754
2016-03-02 00:00:00,82666,78874
2016-03-04 00:00:00,44506,12314
2016-03-06 00:00:00,44768,79860
2016-03-08 00:00:00,85296,81472
2016-03-10 00:00:00,75330,45038
2016-03-12 00:00:00,9072,41468
2016-03-14 00:00:00,85332,86690
2016-03-16 00:00:00,87718,86520
2016-03-18 00:00:00,46926,13194
2016-03-20 00:00:00,47040,84678
2016-03-22 00:00:00,86232,81520
2016-03-24 00:00:00,42132,10720
2016-03-26 00:00:00,13292,14114
2016-03-28 00:00:00,44040,74810
2016-03-30 00:00:00,83130,83052
2016-04-01 00:00:00,46988,13804
2016-04-03 00:00:00,44600,81118
2016-04-05 00:00:00,84844,78650
2016-04-07 00:00:00,72120,43904
2016-04-09 00:00:00,10472,35016
2016-04-11 00:00:00,71308,77008
2016-04-13 00:00:00,80728,79924
2016-04-15 00:00:00,43520,12302
2016-04-17 00:00:00,42420,72270
2016-04-19 00:00:00,81622,84112
2016-04-21 00:00:00,78802,51740
2016-04-23 00:00:00,17662,43154
2016-04-25 00:00:00,78984,79126
2016-04-27 00:00:00,80794,82436
2016-04-29 00:00:00,50256,17664
2016-05-01 00:00:00,36484,66234
2016-05-03 00:00:00,75412,45008
2016-05-05 00:00:00,33012,34354
2016-05-07 00:00:00,8530,37716
2016-05-09 00:00:00,79682,83642
2016-05-11 00:00:00,81538,73730
2016-05-13 00:00:00,39572,15220
2016-05-15 00:00:00,13424,39112
2016-05-17 00:00:00,74742,81464
2016-05-19 00:00:00,80268,52982
2016-05-21 00:00:00,18988,41534
2016-05-23 00:00:00,77080,79022
2016-05-25 00:00:00,48688,38684
2016-05-27 00:00:00,33998,14702
2016-05-29 00:00:00,48808,78700
2016-05-31 00:00:00,77694,78660
2016-06-02 00:00:00,74566,41714
2016-06-04 00:00:00,11964,44170
2016-06-06 00:00:00,86222,87992
2016-06-08 00:00:00,81630,80028
2016-06-10 00:00:00,47008,16414
2016-06-12 00:00:00,44708,74444
2016-06-14 00:00:00,80458,81712
2016-06-16 00:00:00,77522,46794
2016-06-18 00:00:00,13774,41112
2016-06-20 00:00:00,87470,98890
2016-06-22 00:00:00,97064,91494
2016-06-24 00:00:00,55894,23634
2016-06-26 00:00:00,48058,81382
2016-06-28 00:00:00,87090,83126
2016-06-30 00:00:00,77784,45496
2016-07-02 00:00:00,8788,39378
2016-07-04 00:00:00,81520,81220
2016-07-06 00:00:00,74058,74420
2016-07-08 00:00:00,44074,15960
2016-07-10 00:00:00,48712,78656
2016-07-12 00:00:00,81522,77438
2016-07-14 00:00:00,64358,35962
2016-07-16 00:00:00,7624,29844
2016-07-18 00:00:00,69282,75546
2016-07-20 00:00:00,78524,78934
2016-07-22 00:00:00,44732,18326
2016-07-24 00:00:00,47656,78454
2016-07-26 00:00:00,83476,84052
2016-07-28 00:00:00,82164,51084
2016-07-30 00:00:00,14684,38082
2016-08-01 00:00:00,75212,77190
2016-08-03 00:00:00,73480,73382
2016-08-05 00:00:00,42774,16430
2016-08-07 00:00:00,34732,59498
2016-08-09 00:00:00,66662,64094
