datetimes,load_profile,y
2016-01-02 00:00:00,1944,1902
2016-01-02 12:00:00,1912,1870
2016-01-03 00:00:00,1891,1910
2016-01-03 12:00:00,1873,2212
2016-01-04 00:00:00,2135,1919
2016-01-04 12:00:00,2003,2168
2016-01-05 00:00:00,2054,1901
2016-01-05 12:00:00,2021,1884
2016-01-06 00:00:00,1903,1913
2016-01-06 12:00:00,1886,2411
2016-01-07 00:00:00,2178,1939
2016-01-07 12:00:00,2155,2144
2016-01-08 00:00:00,2079,1936
2016-01-08 12:00:00,2016,1914
2016-01-09 00:00:00,1924,1934
2016-01-09 12:00:00,1910,1904
2016-01-10 00:00:00,1935,1982
2016-01-10 12:00:00,1897,10020
2016-01-11 00:00:00,6761,2185
2016-01-11 12:00:00,5336,9867
2016-01-12 00:00:00,7199,2155
2016-01-12 12:00:00,4836,8927
2016-01-13 00:00:00,6416,2428
2016-01-13 12:00:00,4769,9344
2016-01-14 00:00:00,7005,2399
2016-01-14 12:00:00,4812,8175
2016-01-15 00:00:00,7288,2213
2016-01-15 12:00:00,3199,2213
2016-01-16 00:00:00,2248,2257
2016-01-16 12:00:00,2205,2255
2016-01-17 00:00:00,2298,2466
2016-01-17 12:00:00,2250,9851
2016-01-18 00:00:00,7318,2983
2016-01-18 12:00:00,5251,10583
2016-01-19 00:00:00,7760,2745
2016-01-19 12:00:00,5689,8788
2016-01-20 00:00:00,6634,2772
2016-01-20 12:00:00,4931,8578
2016-01-21 00:00:00,6578,2856
2016-01-21 12:00:00,4856,7063
2016-01-22 00:00:00,6451,2482
2016-01-22 12:00:00,3327,2405
2016-01-23 00:00:00,2468,2404
2016-01-23 12:00:00,2328,2414
2016-01-24 00:00:00,2482,2409
2016-01-24 12:00:00,2312,7705
2016-01-25 00:00:00,6029,2106
2016-01-25 12:00:00,3937,7702
2016-01-26 00:00:00,5806,2058
2016-01-26 12:00:00,3998,8190
2016-01-27 00:00:00,5880,1965
2016-01-27 12:00:00,4355,8817
2016-01-28 00:00:00,6025,2444
2016-01-28 12:00:00,4949,6043
2016-01-29 00:00:00,5636,2127
2016-01-29 12:00:00,2747,2081
2016-01-30 00:00:00,2193,1937
2016-01-30 12:00:00,1900,1949
2016-01-31 00:00:00,1959,1974
2016-01-31 12:00:00,1918,9975
2016-02-01 00:00:00,7375,1929
2016-02-01 12:00:00,4589,9722
2016-02-02 00:00:00,7097,1955
2016-02-02 12:00:00,4504,8864
2016-02-03 00:00:00,6874,2116
2016-02-03 12:00:00,4029,7952
2016-02-04 00:00:00,6037,2297
2016-02-04 12:00:00,4143,6968
2016-02-05 00:00:00,5739,1890
2016-02-05 12:00:00,3380,1841
2016-02-06 00:00:00,1892,1833
2016-02-06 12:00:00,1778,1851
2016-02-07 00:00:00,1862,1930
2016-02-07 12:00:00,1861,2653
2016-02-08 00:00:00,2422,1895
2016-02-08 12:00:00,2142,2522
2016-02-09 00:00:00,2261,2021
2016-02-09 12:00:00,2215,8894
2016-02-10 00:00:00,6557,2362
2016-02-10 12:00:00,4493,8446
2016-02-11 00:00:00,6404,2241
2016-02-11 12:00:00,4349,7003
2016-02-12 00:00:00,6339,1876
2016-02-12 12:00:00,2772,1912
2016-02-13 00:00:00,1930,1893
2016-02-13 12:00:00,1873,1867
2016-02-14 00:00:00,1889,2005
2016-02-14 12:00:00,1874,9346
2016-02-15 00:00:00,6822,2192
2016-02-15 12:00:00,4617,9199
2016-02-16 00:00:00,6820,2311
2016-02-16 12:00:00,4629,10400
2016-02-17 00:00:00,7657,2412
2016-02-17 12:00:00,5154,9563
2016-02-18 00:00:00,6910,2090
2016-02-18 12:00:00,4867,8153
2016-02-19 00:00:00,7018,2176
2016-02-19 12:00:00,3298,2213
2016-02-20 00:00:00,2235,2092
2016-02-20 12:00:00,2147,1985
2016-02-21 00:00:00,2046,2096
2016-02-21 12:00:00,1959,8929
2016-02-22 00:00:00,6447,1999
2016-02-22 12:00:00,4534,9640
2016-02-23 00:00:00,6785,2225
2016-02-23 12:00:00,4971,8773
2016-02-24 00:00:00,6827,2155
2016-02-24 12:00:00,4114,8121
2016-02-25 00:00:00,6074,2321
2016-02-25 12:00:00,4318,6438
2016-02-26 00:00:00,5780,2321
2016-02-26 12:00:00,2984,2345
