datetimes,load_profile,y
2016-01-02 00:00:00,7050,6956
2016-01-03 00:00:00,6984,17520
2016-01-04 00:00:00,17726,18280
2016-01-05 00:00:00,19364,8854
2016-01-06 00:00:00,7724,23150
2016-01-07 00:00:00,25104,27398
2016-01-08 00:00:00,26982,11636
2016-01-09 00:00:00,9966,7242
2016-01-10 00:00:00,7244,32694
2016-01-11 00:00:00,34300,40102
2016-01-12 00:00:00,40694,38604
2016-01-13 00:00:00,38402,39718
2016-01-14 00:00:00,39914,41668
2016-01-15 00:00:00,40746,9770
2016-01-16 00:00:00,8676,7970
2016-01-17 00:00:00,8020,37458
2016-01-18 00:00:00,41368,43078
2016-01-19 00:00:00,42250,40470
2016-01-20 00:00:00,40332,38362
2016-01-21 00:00:00,36692,37792
2016-01-22 00:00:00,36520,5950
2016-01-23 00:00:00,5060,4552
2016-01-24 00:00:00,4558,34306
2016-01-25 00:00:00,38634,42754
2016-01-26 00:00:00,43484,43856
2016-01-27 00:00:00,43122,45878
2016-01-28 00:00:00,46352,44976
2016-01-29 00:00:00,41844,13814
2016-01-30 00:00:00,12892,7550
2016-01-31 00:00:00,7596,37312
2016-02-01 00:00:00,39128,42514
2016-02-02 00:00:00,43178,43046
2016-02-03 00:00:00,42510,43442
2016-02-04 00:00:00,42902,34386
2016-02-05 00:00:00,33136,8218
2016-02-06 00:00:00,8102,7182
2016-02-07 00:00:00,6338,27858
2016-02-08 00:00:00,29216,34246
2016-02-09 00:00:00,34604,38102
2016-02-10 00:00:00,38328,39700
2016-02-11 00:00:00,40888,41264
2016-02-12 00:00:00,39158,7252
2016-02-13 00:00:00,6092,4030
2016-02-14 00:00:00,4068,38064
2016-02-15 00:00:00,41164,42430
2016-02-16 00:00:00,43260,40694
2016-02-17 00:00:00,40800,43174
2016-02-18 00:00:00,41764,40584
2016-02-19 00:00:00,40146,7352
2016-02-20 00:00:00,5126,3982
2016-02-21 00:00:00,4020,36856
2016-02-22 00:00:00,40154,43360
2016-02-23 00:00:00,44110,43898
2016-02-24 00:00:00,42284,43938
2016-02-25 00:00:00,43700,39246
2016-02-26 00:00:00,37982,6222
2016-02-27 00:00:00,5232,3924
2016-02-28 00:00:00,3912,35484
2016-02-29 00:00:00,38678,38396
2016-03-01 00:00:00,37206,42358
2016-03-02 00:00:00,42812,39932
2016-03-03 00:00:00,39854,38942
2016-03-04 00:00:00,38050,7806
2016-03-05 00:00:00,6456,4508
2016-03-06 00:00:00,4550,36574
2016-03-07 00:00:00,40218,43286
2016-03-08 00:00:00,43934,42100
2016-03-09 00:00:00,41362,39372
2016-03-10 00:00:00,39652,38492
2016-03-11 00:00:00,35678,6546
2016-03-12 00:00:00,5316,3742
2016-03-13 00:00:00,3756,37726
2016-03-14 00:00:00,40448,43530
2016-03-15 00:00:00,44884,43160
2016-03-16 00:00:00,43084,44612
2016-03-17 00:00:00,44634,41908
2016-03-18 00:00:00,40296,8946
2016-03-19 00:00:00,6630,4248
2016-03-20 00:00:00,4274,40894
2016-03-21 00:00:00,42766,43784
2016-03-22 00:00:00,44484,41966
2016-03-23 00:00:00,41748,39554
2016-03-24 00:00:00,38286,5040
2016-03-25 00:00:00,3846,5680
2016-03-26 00:00:00,6462,6800
2016-03-27 00:00:00,6830,7314
2016-03-28 00:00:00,7334,35272
2016-03-29 00:00:00,36706,39538
2016-03-30 00:00:00,39882,41770
2016-03-31 00:00:00,43248,41282
2016-04-01 00:00:00,39610,9628
2016-04-02 00:00:00,7378,4176
2016-04-03 00:00:00,4082,38264
2016-04-04 00:00:00,40518,42854
2016-04-05 00:00:00,43902,41822
2016-04-06 00:00:00,40942,36828
2016-04-07 00:00:00,36700,36014
2016-04-08 00:00:00,35420,7890
2016-04-09 00:00:00,6196,4270
2016-04-10 00:00:00,4276,30746
2016-04-11 00:00:00,32956,38238
2016-04-12 00:00:00,38352,38770
2016-04-13 00:00:00,39784,41030
2016-04-14 00:00:00,40944,38894
2016-04-15 00:00:00,37186,7972
2016-04-16 00:00:00,6334,4330
2016-04-17 00:00:00,5218,34800
2016-04-18 00:00:00,37202,37470
2016-04-19 00:00:00,38878,42898
2016-04-20 00:00:00,42744,41214
2016-04-21 00:00:00,40164,39426
2016-04-22 00:00:00,38638,12314
2016-04-23 00:00:00,10424,7176
2016-04-24 00:00:00,7238,35978
2016-04-25 00:00:00,37956,40964
2016-04-26 00:00:00,41028,38162
2016-04-27 00:00:00,39822,41908
2016-04-28 00:00:00,40972,40528
2016-04-29 00:00:00,39888,12700
2016-04-30 00:00:00,10368,4964
2016-05-01 00:00:00,4450,29352
2016-05-02 00:00:00,32034,36882
2016-05-03 00:00:00,38154,40398
2016-05-04 00:00:00,37258,4610
2016-05-05 00:00:00,3574,28722
2016-05-06 00:00:00,29438,5632
2016-05-07 00:00:00,4940,3608
2016-05-08 00:00:00,3590,34108
2016-05-09 00:00:00,36452,40462
2016-05-10 00:00:00,43230,43180
2016-05-11 00:00:00,42412,41126
2016-05-12 00:00:00,39126,32604
2016-05-13 00:00:00,32042,8402
2016-05-14 00:00:00,7530,6818
2016-05-15 00:00:00,6650,6742
2016-05-16 00:00:00,6774,32370
2016-05-17 00:00:00,34450,40552
2016-05-18 00:00:00,40292,40912
2016-05-19 00:00:00,41730,40400
2016-05-20 00:00:00,38538,12582
2016-05-21 00:00:00,11898,7086
2016-05-22 00:00:00,7090,34448
2016-05-23 00:00:00,37484,38074
2016-05-24 00:00:00,39596,40948
2016-05-25 00:00:00,40050,12124
2016-05-26 00:00:00,8638,26560
2016-05-27 00:00:00,26628,7634
2016-05-28 00:00:00,7370,7068
2016-05-29 00:00:00,7098,39608
2016-05-30 00:00:00,41710,39092
2016-05-31 00:00:00,38398,39228
2016-06-01 00:00:00,39296,39432
2016-06-02 00:00:00,39598,36382
2016-06-03 00:00:00,34968,5332
2016-06-04 00:00:00,5066,6896
2016-06-05 00:00:00,6898,37274
2016-06-06 00:00:00,40324,45236
2016-06-07 00:00:00,45898,42756
2016-06-08 00:00:00,42454,39940
2016-06-09 00:00:00,39176,40088
2016-06-10 00:00:00,39276,9622
2016-06-11 00:00:00,7732,6792
2016-06-12 00:00:00,6782,34126
2016-06-13 00:00:00,37926,40318
2016-06-14 00:00:00,39312,41606
2016-06-15 00:00:00,41146,40106
2016-06-16 00:00:00,40546,38788
2016-06-17 00:00:00,36976,8006
2016-06-18 00:00:00,7040,6736
2016-06-19 00:00:00,6734,34376
2016-06-20 00:00:00,39296,46614
2016-06-21 00:00:00,48174,52276
2016-06-22 00:00:00,49850,46082
2016-06-23 00:00:00,47214,45412
2016-06-24 00:00:00,42182,15210
2016-06-25 00:00:00,13712,8424
2016-06-26 00:00:00,8342,37254
2016-06-27 00:00:00,39716,44128
2016-06-28 00:00:00,45812,44534
2016-06-29 00:00:00,41278,38592
2016-06-30 00:00:00,39532,39482
2016-07-01 00:00:00,38252,6014
2016-07-02 00:00:00,4352,3814
2016-07-03 00:00:00,4436,35564
2016-07-04 00:00:00,39130,42204
2016-07-05 00:00:00,42390,39016
2016-07-06 00:00:00,38724,35274
2016-07-07 00:00:00,35334,39146
2016-07-08 00:00:00,37032,8020
2016-07-09 00:00:00,7042,7940
2016-07-10 00:00:00,7878,38090
2016-07-11 00:00:00,40834,40566
2016-07-12 00:00:00,40772,40138
2016-07-13 00:00:00,40750,37300
2016-07-14 00:00:00,34628,29922
2016-07-15 00:00:00,29730,6040
2016-07-16 00:00:00,4202,3358
2016-07-17 00:00:00,3422,26486
2016-07-18 00:00:00,31692,38100
2016-07-19 00:00:00,37590,37446
2016-07-20 00:00:00,37326,40686
2016-07-21 00:00:00,41198,38248
2016-07-22 00:00:00,35664,10514
2016-07-23 00:00:00,9068,7812
2016-07-24 00:00:00,7786,37320
2016-07-25 00:00:00,39870,41134
2016-07-26 00:00:00,41752,42612
2016-07-27 00:00:00,41724,41440
2016-07-28 00:00:00,43478,41028
2016-07-29 00:00:00,38686,10056
2016-07-30 00:00:00,7890,6856
2016-07-31 00:00:00,6794,31226
2016-08-01 00:00:00,35510,39850
2016-08-02 00:00:00,39702,37340
2016-08-03 00:00:00,36688,36636
2016-08-04 00:00:00,36792,36746
2016-08-05 00:00:00,34506,9570
2016-08-06 00:00:00,8268,6860
2016-08-07 00:00:00,6786,26016
2016-08-08 00:00:00,27946,33482
2016-08-09 00:00:00,33188,33788
2016-08-10 00:00:00,33474,30306
2016-08-11 00:00:00,30860,33326
2016-08-12 00:00:00,32310,8092
2016-08-13 00:00:00,7248,6814
2016-08-14 00:00:00,6868,31028
2016-08-15 00:00:00,34578,34666
2016-08-16 00:00:00,32536,31806
2016-08-17 00:00:00,32318,32072
2016-08-18 00:00:00,31916,30140
2016-08-19 00:00:00,29268,8874
2016-08-20 00:00:00,7984,7058
2016-08-21 00:00:00,6908,29440
2016-08-22 00:00:00,31048,35202
2016-08-23 00:00:00,37710,39298
2016-08-24 00:00:00,37324,35606
2016-08-25 00:00:00,37336,37858
2016-08-26 00:00:00,35196,9054
2016-08-27 00:00:00,8154,7818
2016-08-28 00:00:00,7824,32714
2016-08-29 00:00:00,36542,38998
2016-08-30 00:00:00,40676,43092
2016-08-31 00:00:00,40348,40050
2016-09-01 00:00:00,39752,37010
2016-09-02 00:00:00,35214,8202
2016-09-03 00:00:00,7328,6926
2016-09-04 00:00:00,6890,35870
2016-09-05 00:00:00,39538,43600
2016-09-06 00:00:00,43940,45246
2016-09-07 00:00:00,45894,46170
2016-09-08 00:00:00,46016,45400
2016-09-09 00:00:00,41852,8660
2016-09-10 00:00:00,7882,7574
2016-09-11 00:00:00,7578,40224
2016-09-12 00:00:00,42192,45286
2016-09-13 00:00:00,45440,45344
2016-09-14 00:00:00,46174,43834
2016-09-15 00:00:00,42940,44114
2016-09-16 00:00:00,43058,11732
2016-09-17 00:00:00,10542,6842
2016-09-18 00:00:00,6858,40168
2016-09-19 00:00:00,42616,42356
2016-09-20 00:00:00,42880,43274
2016-09-21 00:00:00,42842,44910
2016-09-22 00:00:00,44376,39028
2016-09-23 00:00:00,37428,6736
2016-09-24 00:00:00,5458,3410
2016-09-25 00:00:00,3410,36590
2016-09-26 00:00:00,40894,47596
2016-09-27 00:00:00,47976,47026
2016-09-28 00:00:00,47518,47000
2016-09-29 00:00:00,45504,43444
2016-09-30 00:00:00,42594,7754
2016-10-01 00:00:00,5076,3592
2016-10-02 00:00:00,3468,3522
2016-10-03 00:00:00,4378,40306
2016-10-04 00:00:00,42568,45298
2016-10-05 00:00:00,46468,48956
2016-10-06 00:00:00,47492,43360
2016-10-07 00:00:00,43032,10366
2016-10-08 00:00:00,7758,3056
2016-10-09 00:00:00,3076,38602
2016-10-10 00:00:00,41276,43840
2016-10-11 00:00:00,45034,45412
2016-10-12 00:00:00,46992,47604
2016-10-13 00:00:00,47360,45318
2016-10-14 00:00:00,41622,5908
2016-10-15 00:00:00,4410,5176
2016-10-16 00:00:00,6052,40220
2016-10-17 00:00:00,43332,42014
2016-10-18 00:00:00,40986,41410
2016-10-19 00:00:00,41240,40892
2016-10-20 00:00:00,42574,44120
2016-10-21 00:00:00,41742,11098
2016-10-22 00:00:00,10010,7190
2016-10-23 00:00:00,7202,43038
2016-10-24 00:00:00,47600,49938
2016-10-25 00:00:00,50130,50284
2016-10-26 00:00:00,49530,47632
2016-10-27 00:00:00,46812,47018
2016-10-28 00:00:00,45822,15898
2016-10-29 00:00:00,14016,7504
2016-10-30 00:00:00,7498,34322
2016-10-30 23:00:00,37150,10300
2016-10-31 23:00:00,7386,39358
2016-11-01 23:00:00,43868,44448
2016-11-02 23:00:00,45556,46620
2016-11-03 23:00:00,44342,15438
2016-11-04 23:00:00,12064,7114
2016-11-05 23:00:00,7150,39092
2016-11-06 23:00:00,46370,48034
2016-11-07 23:00:00,47824,48152
2016-11-08 23:00:00,47098,45800
2016-11-09 23:00:00,46654,44146
2016-11-10 23:00:00,40746,15182
2016-11-11 23:00:00,11882,7916
2016-11-12 23:00:00,7914,37210
2016-11-13 23:00:00,42828,47844
2016-11-14 23:00:00,49830,51168
2016-11-15 23:00:00,49866,47926
2016-11-16 23:00:00,47588,47194
2016-11-17 23:00:00,45404,16574
2016-11-18 23:00:00,12312,7472
2016-11-19 23:00:00,7468,38120
2016-11-20 23:00:00,44718,46318
2016-11-21 23:00:00,48200,50276
2016-11-22 23:00:00,49410,47758
2016-11-23 23:00:00,48640,47458
2016-11-24 23:00:00,42742,12786
2016-11-25 23:00:00,9010,7456
2016-11-26 23:00:00,7440,40586
2016-11-27 23:00:00,46242,46812
2016-11-28 23:00:00,50458,51520
2016-11-29 23:00:00,52518,50660
2016-11-30 23:00:00,48264,50200
2016-12-01 23:00:00,45394,14680
2016-12-02 23:00:00,11766,8144
2016-12-03 23:00:00,8130,38582
2016-12-04 23:00:00,43316,46186
2016-12-05 23:00:00,47220,49230
2016-12-06 23:00:00,51094,49012
2016-12-07 23:00:00,46620,44674
2016-12-08 23:00:00,43440,15604
2016-12-09 23:00:00,11554,8034
2016-12-10 23:00:00,7998,38348
2016-12-11 23:00:00,44448,44598
2016-12-12 23:00:00,44728,46292
2016-12-13 23:00:00,48398,49296
2016-12-14 23:00:00,47616,47262
2016-12-15 23:00:00,43652,12962
2016-12-16 23:00:00,9926,7824
2016-12-17 23:00:00,7856,37904
2016-12-18 23:00:00,47160,53768
2016-12-19 23:00:00,50488,46268
2016-12-20 23:00:00,44068,40182
2016-12-21 23:00:00,39014,30378
2016-12-22 23:00:00,28776,8620
2016-12-23 23:00:00,7378,7102
2016-12-24 23:00:00,7106,7140
2016-12-25 23:00:00,7138,18098
2016-12-26 23:00:00,18494,17064
2016-12-27 23:00:00,17518,14332
2016-12-28 23:00:00,13438,14248
2016-12-29 23:00:00,14922,8284
