datetimes,load_profile,col,y
2016-01-01 00:15:00,0.0,0.0,269.0
2016-01-01 00:30:00,0.0,0.0,270.0
2016-01-01 00:45:00,0.0,0.0,270.0
2016-01-01 01:00:00,0.0,0.0,271.0
2016-01-01 01:15:00,272.0,272.0,269.0
2016-01-01 01:30:00,270.0,270.0,271.0
2016-01-01 01:45:00,271.0,271.0,270.0
2016-01-01 02:00:00,270.0,270.0,270.0
2016-01-01 02:15:00,270.0,270.0,271.0
2016-01-01 02:30:00,272.0,272.0,271.0
2016-01-01 02:45:00,270.0,270.0,270.0
2016-01-01 03:00:00,271.0,271.0,271.0
2016-01-01 03:15:00,284.0,284.0,270.0
2016-01-01 03:30:00,309.0,309.0,271.0
2016-01-01 03:45:00,271.0,271.0,309.0
2016-01-01 04:00:00,271.0,271.0,284.0
2016-01-01 04:15:00,269.0,269.0,270.0
2016-01-01 04:30:00,270.0,270.0,269.0
2016-01-01 04:45:00,270.0,270.0,269.0
2016-01-01 05:00:00,271.0,271.0,266.0
2016-01-01 05:15:00,269.0,269.0,266.0
2016-01-01 05:30:00,271.0,271.0,265.0
2016-01-01 05:45:00,270.0,270.0,264.0
2016-01-01 06:00:00,270.0,270.0,265.0
2016-01-01 06:15:00,271.0,271.0,265.0
2016-01-01 06:30:00,271.0,271.0,264.0
2016-01-01 06:45:00,270.0,270.0,265.0
2016-01-01 07:00:00,271.0,271.0,265.0
2016-01-01 07:15:00,270.0,270.0,265.0
2016-01-01 07:30:00,271.0,271.0,265.0
2016-01-01 07:45:00,309.0,309.0,265.0
2016-01-01 08:00:00,284.0,284.0,291.0
2016-01-01 08:15:00,270.0,270.0,293.0
2016-01-01 08:30:00,269.0,269.0,266.0
2016-01-01 08:45:00,269.0,269.0,266.0
2016-01-01 09:00:00,266.0,266.0,267.0
2016-01-01 09:15:00,266.0,266.0,266.0
2016-01-01 09:30:00,265.0,265.0,266.0
2016-01-01 09:45:00,264.0,264.0,267.0
2016-01-01 10:00:00,265.0,265.0,267.0
2016-01-01 10:15:00,265.0,265.0,265.0
2016-01-01 10:30:00,264.0,264.0,267.0
2016-01-01 10:45:00,265.0,265.0,266.0
2016-01-01 11:00:00,265.0,265.0,266.0
2016-01-01 11:15:00,265.0,265.0,266.0
2016-01-01 11:30:00,265.0,265.0,266.0
2016-01-01 11:45:00,265.0,265.0,265.0
2016-01-01 12:00:00,291.0,291.0,266.0
2016-01-01 12:15:00,293.0,293.0,279.0
2016-01-01 12:30:00,266.0,266.0,307.0
2016-01-01 12:45:00,266.0,266.0,269.0
2016-01-01 13:00:00,267.0,267.0,270.0
2016-01-01 13:15:00,266.0,266.0,271.0
2016-01-01 13:30:00,266.0,266.0,272.0
2016-01-01 13:45:00,267.0,267.0,270.0
2016-01-01 14:00:00,267.0,267.0,271.0
2016-01-01 14:15:00,265.0,265.0,272.0
2016-01-01 14:30:00,267.0,267.0,271.0
2016-01-01 14:45:00,266.0,266.0,271.0
