datetimes,load_profile,y
2016-01-02 00:00:00,584310,616284
2016-01-26 00:00:00,769926,769572
2016-02-19 00:00:00,684188,684042
2016-03-14 00:00:00,712274,708870
2016-04-07 00:00:00,708688,678656
2016-05-01 00:00:00,618732,650018
2016-05-25 00:00:00,713266,684014
2016-06-18 00:00:00,724286,754768
2016-07-12 00:00:00,722714,718294
2016-08-05 00:00:00,591554,590888
2016-08-29 00:00:00,804992,814882
2016-09-22 00:00:00,745168,708900
2016-10-16 00:00:00,786256,821134
2016-11-08 23:00:00,902626,873062
2016-12-02 23:00:00,748890,755508
