datetimes,load_profile,y
2016-01-02 00:00:00,3584,3536
2016-01-02 12:00:00,3466,3420
2016-01-03 00:00:00,3484,3730
2016-01-03 12:00:00,3500,13790
2016-01-04 00:00:00,9078,3270
2016-01-04 12:00:00,8648,15010
2016-01-05 00:00:00,8132,5020
2016-01-05 12:00:00,11232,3834
2016-01-06 00:00:00,3876,4056
2016-01-06 12:00:00,3848,19094
2016-01-07 00:00:00,11566,6642
2016-01-07 12:00:00,13538,20756
2016-01-08 00:00:00,12980,5370
2016-01-08 12:00:00,14002,6266
2016-01-09 00:00:00,6362,3676
2016-01-09 12:00:00,3604,3566
2016-01-10 00:00:00,3646,3784
2016-01-10 12:00:00,3598,28910
2016-01-11 00:00:00,15146,5844
2016-01-11 12:00:00,19154,34258
2016-01-12 00:00:00,18958,6494
2016-01-12 12:00:00,21736,32110
2016-01-13 00:00:00,17674,6314
2016-01-13 12:00:00,20728,33404
2016-01-14 00:00:00,18364,6492
2016-01-14 12:00:00,21550,35176
2016-01-15 00:00:00,19568,5126
2016-01-15 12:00:00,21178,4644
2016-01-16 00:00:00,4708,4016
2016-01-16 12:00:00,3968,3954
2016-01-17 00:00:00,3986,4158
2016-01-17 12:00:00,4034,33300
2016-01-18 00:00:00,18042,9270
2016-01-18 12:00:00,23326,33808
2016-01-19 00:00:00,19380,6990
2016-01-19 12:00:00,22870,33480
2016-01-20 00:00:00,17810,6794
2016-01-20 12:00:00,22522,31568
2016-01-21 00:00:00,16598,5282
2016-01-21 12:00:00,20094,32510
2016-01-22 00:00:00,18032,3206
2016-01-22 12:00:00,18488,2744
2016-01-23 00:00:00,2808,2336
2016-01-23 12:00:00,2252,2216
2016-01-24 00:00:00,2318,2466
2016-01-24 12:00:00,2240,31840
2016-01-25 00:00:00,16646,7226
2016-01-25 12:00:00,21988,35528
2016-01-26 00:00:00,17926,7908
2016-01-26 12:00:00,25558,35948
2016-01-27 00:00:00,18526,7356
2016-01-27 12:00:00,24596,38522
2016-01-28 00:00:00,20278,8552
2016-01-28 12:00:00,26074,36424
2016-01-29 00:00:00,19880,4808
2016-01-29 12:00:00,21964,9006
2016-01-30 00:00:00,7360,3834
2016-01-30 12:00:00,5532,3716
2016-01-31 00:00:00,3782,4022
2016-01-31 12:00:00,3814,33290
2016-02-01 00:00:00,17414,6056
2016-02-01 12:00:00,21714,36458
2016-02-02 00:00:00,19226,6892
2016-02-02 12:00:00,23952,36154
2016-02-03 00:00:00,19354,5616
2016-02-03 12:00:00,23156,37826
2016-02-04 00:00:00,20466,5190
2016-02-04 12:00:00,22436,29196
2016-02-05 00:00:00,16208,4186
2016-02-05 12:00:00,16928,4032
2016-02-06 00:00:00,4196,4028
2016-02-06 12:00:00,3906,3154
2016-02-07 00:00:00,4010,2424
2016-02-07 12:00:00,2328,25434
2016-02-08 00:00:00,13422,3988
2016-02-08 12:00:00,15794,30258
2016-02-09 00:00:00,16366,4486
2016-02-09 12:00:00,18238,33616
2016-02-10 00:00:00,17274,4918
2016-02-10 12:00:00,21054,34782
2016-02-11 00:00:00,18598,5990
2016-02-11 12:00:00,22290,35274
2016-02-12 00:00:00,19464,3248
2016-02-12 12:00:00,19694,4004
2016-02-13 00:00:00,4038,2058
2016-02-13 12:00:00,2054,1972
2016-02-14 00:00:00,2018,2292
2016-02-14 12:00:00,2050,35772
2016-02-15 00:00:00,18524,6018
2016-02-15 12:00:00,22640,36412
2016-02-16 00:00:00,19244,6754
2016-02-16 12:00:00,24016,33940
2016-02-17 00:00:00,17300,6952
2016-02-17 12:00:00,23500,36222
2016-02-18 00:00:00,19172,5460
2016-02-18 12:00:00,22592,35124
2016-02-19 00:00:00,18288,4504
2016-02-19 12:00:00,21858,2848
2016-02-20 00:00:00,2952,2048
2016-02-20 12:00:00,2174,1934
2016-02-21 00:00:00,2010,2256
2016-02-21 12:00:00,2010,34600
2016-02-22 00:00:00,16854,6086
2016-02-22 12:00:00,23300,37274
2016-02-23 00:00:00,19308,7568
2016-02-23 12:00:00,24802,36330
2016-02-24 00:00:00,20488,5120
2016-02-24 12:00:00,21796,38818
2016-02-25 00:00:00,21132,4790
2016-02-25 12:00:00,22568,34456
2016-02-26 00:00:00,18842,3020
2016-02-26 12:00:00,19140,3202
2016-02-27 00:00:00,3280,2020
2016-02-27 12:00:00,1952,1904
2016-02-28 00:00:00,2002,2076
2016-02-28 12:00:00,1910,33408
2016-02-29 00:00:00,16334,5722
2016-02-29 12:00:00,22344,32674
2016-03-01 00:00:00,17162,4510
2016-03-01 12:00:00,20044,37848
2016-03-02 00:00:00,19458,5274
2016-03-02 12:00:00,23354,34658
2016-03-03 00:00:00,18566,5166
2016-03-03 12:00:00,21288,33776
2016-03-04 00:00:00,18380,3778
2016-03-04 12:00:00,19670,4028
2016-03-05 00:00:00,4006,2292
2016-03-05 12:00:00,2450,2216
2016-03-06 00:00:00,2302,2976
2016-03-06 12:00:00,2248,33598
2016-03-07 00:00:00,16936,7182
2016-03-07 12:00:00,23282,36104
2016-03-08 00:00:00,19680,7010
2016-03-08 12:00:00,24254,35090
2016-03-09 00:00:00,18906,6282
2016-03-09 12:00:00,22456,33090
2016-03-10 00:00:00,17412,6556
2016-03-10 12:00:00,22240,31936
2016-03-11 00:00:00,17794,3252
2016-03-11 12:00:00,17884,3294
2016-03-12 00:00:00,3208,1924
2016-03-12 12:00:00,2108,1818
2016-03-13 00:00:00,1890,2080
2016-03-13 12:00:00,1866,35646
2016-03-14 00:00:00,18340,5278
2016-03-14 12:00:00,22108,38252
2016-03-15 00:00:00,19406,6748
2016-03-15 12:00:00,25478,36412
2016-03-16 00:00:00,19400,6828
2016-03-16 12:00:00,23684,37784
2016-03-17 00:00:00,21030,6706
2016-03-17 12:00:00,23604,35202
2016-03-18 00:00:00,19258,5624
2016-03-18 12:00:00,21038,3322
2016-03-19 00:00:00,4530,2188
2016-03-19 12:00:00,2100,2060
2016-03-20 00:00:00,2188,2496
2016-03-20 12:00:00,2086,38398
2016-03-21 00:00:00,18736,4544
2016-03-21 12:00:00,24030,39240
2016-03-22 00:00:00,20208,5334
2016-03-22 12:00:00,24276,36632
2016-03-23 00:00:00,19744,5882
2016-03-23 12:00:00,22004,33672
2016-03-24 00:00:00,19578,3124
2016-03-24 12:00:00,18708,1916
2016-03-25 00:00:00,1906,2140
2016-03-25 12:00:00,1940,3540
2016-03-26 00:00:00,2994,3288
2016-03-26 12:00:00,3468,3512
2016-03-27 00:00:00,3306,3670
2016-03-27 12:00:00,3524,3644
2016-03-28 00:00:00,3768,3824
2016-03-28 12:00:00,3566,31448
2016-03-29 00:00:00,16716,4708
2016-03-29 12:00:00,19990,34830
2016-03-30 00:00:00,17678,5250
2016-03-30 12:00:00,22204,36520
2016-03-31 00:00:00,18914,7436
2016-03-31 12:00:00,24334,33846
2016-04-01 00:00:00,18486,4460
2016-04-01 12:00:00,21124,5168
2016-04-02 00:00:00,4826,2178
2016-04-02 12:00:00,2552,1998
2016-04-03 00:00:00,2042,2252
2016-04-03 12:00:00,2040,36012
2016-04-04 00:00:00,18298,5432
2016-04-04 12:00:00,22220,37422
2016-04-05 00:00:00,20062,6808
2016-04-05 12:00:00,23840,35014
2016-04-06 00:00:00,19510,4898
2016-04-06 12:00:00,21432,31930
2016-04-07 00:00:00,16278,4962
2016-04-07 12:00:00,20422,31052
2016-04-08 00:00:00,16652,3894
2016-04-08 12:00:00,18768,3996
2016-04-09 00:00:00,4076,2196
2016-04-09 12:00:00,2120,2074
2016-04-10 00:00:00,2182,2230
2016-04-10 12:00:00,2094,28516
2016-04-11 00:00:00,14408,5070
2016-04-11 12:00:00,18548,33168
2016-04-12 00:00:00,17368,4852
2016-04-12 12:00:00,20984,33918
2016-04-13 00:00:00,17000,6064
2016-04-13 12:00:00,22784,34966
2016-04-14 00:00:00,19082,5986
2016-04-14 12:00:00,21862,32908
2016-04-15 00:00:00,18114,3610
2016-04-15 12:00:00,19072,4362
2016-04-16 00:00:00,4144,1958
2016-04-16 12:00:00,2190,2372
2016-04-17 00:00:00,1962,3888
2016-04-17 12:00:00,3256,30912
2016-04-18 00:00:00,17366,6692
2016-04-18 12:00:00,19836,30778
2016-04-19 00:00:00,16958,8076
2016-04-19 12:00:00,21920,34822
2016-04-20 00:00:00,18608,8124
2016-04-20 12:00:00,24136,33090
2016-04-21 00:00:00,18530,6784
2016-04-21 12:00:00,21634,32642
2016-04-22 00:00:00,18070,5496
2016-04-22 12:00:00,20568,6818
2016-04-23 00:00:00,6762,3634
2016-04-23 12:00:00,3662,3542
2016-04-24 00:00:00,3638,3868
2016-04-24 12:00:00,3600,32110
2016-04-25 00:00:00,17016,5384
2016-04-25 12:00:00,20940,35580
2016-04-26 00:00:00,19040,5810
2016-04-26 12:00:00,21988,32352
2016-04-27 00:00:00,17498,7354
2016-04-27 12:00:00,22324,34554
2016-04-28 00:00:00,18222,7412
2016-04-28 12:00:00,22750,33116
2016-04-29 00:00:00,19918,6186
2016-04-29 12:00:00,19970,6514
2016-04-30 00:00:00,6122,2784
2016-04-30 12:00:00,4246,2180
2016-05-01 00:00:00,2228,2354
2016-05-01 12:00:00,2222,26998
2016-05-02 00:00:00,14410,6082
2016-05-02 12:00:00,17624,30800
2016-05-03 00:00:00,15378,7438
2016-05-03 12:00:00,22776,32960
2016-05-04 00:00:00,18610,2844
2016-05-04 12:00:00,18648,1766
2016-05-05 00:00:00,1768,1906
2016-05-05 12:00:00,1806,26816
2016-05-06 00:00:00,14296,2682
2016-05-06 12:00:00,15142,2950
2016-05-07 00:00:00,2952,1830
2016-05-07 12:00:00,1988,1778
2016-05-08 00:00:00,1772,1914
2016-05-08 12:00:00,1818,32194
2016-05-09 00:00:00,15832,4736
2016-05-09 12:00:00,20620,35726
2016-05-10 00:00:00,17796,7700
2016-05-10 12:00:00,25434,35480
2016-05-11 00:00:00,18826,8252
2016-05-11 12:00:00,23586,32874
2016-05-12 00:00:00,18790,4800
2016-05-12 12:00:00,20336,27804
2016-05-13 00:00:00,15334,4098
2016-05-13 12:00:00,16708,4304
2016-05-14 00:00:00,3652,3534
2016-05-14 12:00:00,3878,3284
2016-05-15 00:00:00,3344,3366
2016-05-15 12:00:00,3306,3376
2016-05-16 00:00:00,3404,3514
2016-05-16 12:00:00,3370,28856
2016-05-17 00:00:00,15266,6026
2016-05-17 12:00:00,19184,34526
2016-05-18 00:00:00,17948,5712
2016-05-18 12:00:00,22344,35200
2016-05-19 00:00:00,17896,6520
2016-05-19 12:00:00,23834,33880
2016-05-20 00:00:00,19092,4242
2016-05-20 12:00:00,19446,8340
2016-05-21 00:00:00,7936,3572
2016-05-21 12:00:00,3962,3514
2016-05-22 00:00:00,3522,3628
2016-05-22 12:00:00,3568,30820
2016-05-23 00:00:00,15568,7158
2016-05-23 12:00:00,21916,30916
2016-05-24 00:00:00,17522,8816
2016-05-24 12:00:00,22074,32132
2016-05-25 00:00:00,17598,7270
2016-05-25 12:00:00,22452,4854
2016-05-26 00:00:00,4512,3966
2016-05-26 12:00:00,4126,22594
2016-05-27 00:00:00,13218,3970
2016-05-27 12:00:00,13410,3664
2016-05-28 00:00:00,3822,3606
2016-05-28 12:00:00,3548,3462
2016-05-29 00:00:00,3564,3816
2016-05-29 12:00:00,3534,35792
2016-05-30 00:00:00,18954,6774
2016-05-30 12:00:00,22756,32318
2016-05-31 00:00:00,19570,4954
2016-05-31 12:00:00,18828,34274
2016-06-01 00:00:00,17804,5478
2016-06-01 12:00:00,21492,33954
2016-06-02 00:00:00,18900,5568
2016-06-02 12:00:00,20698,30814
2016-06-03 00:00:00,18284,3218
2016-06-03 12:00:00,16684,2114
2016-06-04 00:00:00,2112,3526
2016-06-04 12:00:00,2954,3370
2016-06-05 00:00:00,3454,3584
2016-06-05 12:00:00,3444,33690
2016-06-06 00:00:00,17366,7154
2016-06-06 12:00:00,22958,38082
2016-06-07 00:00:00,20318,7850
2016-06-07 12:00:00,25580,34906
2016-06-08 00:00:00,19196,7496
2016-06-08 12:00:00,23258,32444
2016-06-09 00:00:00,17546,6890
2016-06-09 12:00:00,21630,33198
2016-06-10 00:00:00,18734,5646
2016-06-10 12:00:00,20542,3976
2016-06-11 00:00:00,4252,3418
2016-06-11 12:00:00,3480,3374
2016-06-12 00:00:00,3392,3484
2016-06-12 12:00:00,3390,30642
2016-06-13 00:00:00,15786,7782
2016-06-13 12:00:00,22140,32536
2016-06-14 00:00:00,17636,6934
2016-06-14 12:00:00,21676,34672
2016-06-15 00:00:00,18748,6398
2016-06-15 12:00:00,22398,33708
2016-06-16 00:00:00,18418,6824
2016-06-16 12:00:00,22128,31964
2016-06-17 00:00:00,18896,4424
2016-06-17 12:00:00,18080,3582
2016-06-18 00:00:00,3666,3378
2016-06-18 12:00:00,3374,3358
2016-06-19 00:00:00,3374,3460
2016-06-19 12:00:00,3360,30916
2016-06-20 00:00:00,16272,10124
2016-06-20 12:00:00,23024,36490
2016-06-21 00:00:00,21644,13526
2016-06-21 12:00:00,26530,38750
2016-06-22 00:00:00,24188,8268
2016-06-22 12:00:00,25662,37814
2016-06-23 00:00:00,21474,10508
2016-06-23 12:00:00,25740,34904
2016-06-24 00:00:00,21824,6528
2016-06-24 12:00:00,20358,8682
2016-06-25 00:00:00,9120,4254
2016-06-25 12:00:00,4592,4170
2016-06-26 00:00:00,4200,4208
2016-06-26 12:00:00,4142,33046
2016-06-27 00:00:00,17354,7028
2016-06-27 12:00:00,22362,37100
2016-06-28 00:00:00,20576,8596
2016-06-28 12:00:00,25236,35938
2016-06-29 00:00:00,20158,4708
2016-06-29 12:00:00,21120,33884
2016-06-30 00:00:00,18238,5546
2016-06-30 12:00:00,21294,33936
2016-07-01 00:00:00,17878,3728
2016-07-01 12:00:00,20374,2286
2016-07-02 00:00:00,2306,1974
2016-07-02 12:00:00,2046,1840
2016-07-03 00:00:00,1754,3324
2016-07-03 12:00:00,2682,32240
2016-07-04 00:00:00,16550,6754
